sensor,positive_affect,negative_affect,VAS_nervousness,VAS_interest,VAS_happiness,VAS_belonging,VAS_wellbeing
HR_mean,-0.1644,-0.0212,0.0984,0.1263,-0.4044,-0.1451,-0.363
EA_mean,0.0913,-0.1404,-0.2045,0.3722,0.0746,0.2456,0.2973
PG_mean,-0.0474,0.1107,-0.032,0.1851,-0.2035,0.0859,0.0952
