day,pair,participant,sensor,n_samples,duration_s,sampling_rate_hz,mean,std,min,q25,median,q75,max
day2,Pair3,INTACT-CS2-Y-11,PG,135282,5444.4,24.85,12853.1746,1107.4013,183.0,12123.0,12923.0,13394.0,19405.0
day2,Pair4,INTACT-CS2-O-18,HR,4559,3558.93,1.28,79.2954,5.8496,2.45,75.6,78.54,82.62,133.66
day2,Pair4,INTACT-CS2-O-18,EA,53680,3578.2,15.0,31.0103,507.9895,0.0302,2.5344,5.1687,6.6881,10000.0
day2,Pair4,INTACT-CS2-O-18,PG,89204,3578.21,24.93,4669.9224,869.2521,160.0,4213.0,4440.0,5052.0,12883.0
day2,Pair4,INTACT-CS2-Y-12,HR,4809,3588.06,1.34,91.1316,16.3933,37.78,80.79,87.8,96.73,232.63
day2,Pair4,INTACT-CS2-Y-12,EA,53982,3590.38,15.04,3.1047,0.8574,0.0302,2.6464,3.4036,3.7134,4.3546
day2,Pair4,INTACT-CS2-Y-12,PG,89421,3590.38,24.91,10733.7401,946.4895,342.0,10429.0,10706.0,11199.0,14231.0
day2,Pair5,INTACT-CS2-O-21,HR,3988,3596.49,1.11,77.7772,10.5829,41.93,71.37,77.225,82.24,153.8
day2,Pair5,INTACT-CS2-O-21,EA,53936,5232.62,10.31,3.338,1.1851,0.0,2.6592,3.7755,4.2042,5.0196
day2,Pair5,INTACT-CS2-O-21,PG,89644,5232.16,17.13,6847.7554,666.6671,2.0,6571.0,6803.0,7153.0,15353.0
day2,Pair5,INTACT-CS2-Y-13,HR,5156,3586.67,1.44,92.0479,12.684,48.95,85.1775,91.38,98.0125,252.38
day2,Pair5,INTACT-CS2-Y-13,EA,53825,3587.8,15.0,3.723,142.9198,0.0302,1.7366,1.7955,1.858,10000.0
day2,Pair5,INTACT-CS2-Y-13,PG,89169,3587.91,24.85,10950.47,1029.4909,218.0,10635.0,10785.0,11475.0,24567.0
day2,Pair6,INTACT-CS2-O-14,HR,5652,4138.94,1.37,83.6415,7.9409,65.17,77.74,81.1,88.5425,151.14
day2,Pair6,INTACT-CS2-O-14,EA,62099,4139.38,15.0,1.2498,0.415,0.1082,1.0717,1.3989,1.5945,1.7414
day2,Pair6,INTACT-CS2-O-14,PG,102868,4139.54,24.85,8350.0406,700.7894,6189.0,7862.0,8264.0,8760.25,10670.0
day2,Pair6,INTACT-CS2-Y-15,HR,5147,4136.12,1.24,79.9421,8.4281,45.77,74.33,78.26,84.34,172.49
day2,Pair6,INTACT-CS2-Y-15,EA,62062,4136.87,15.0,3.5658,1.023,1.0081,3.0401,3.5108,4.1416,9.9896
day2,Pair6,INTACT-CS2-Y-15,PG,103138,4136.88,24.93,9755.7909,1413.0405,6551.0,8769.0,9608.0,10547.0,13121.0
